DateTime,IUCR,Arrest,Domestic,Beat,District,Ward,Community,Year
07/02/2002 10:27:34 PM,5002,false,false,0331,003,5,43,2002
07/02/2002 10:28:00 PM,1506,true,false,0312,003,20,42,2002
07/02/2002 10:30:00 PM,1320,true,false,1823,018,27,8,2002
07/02/2002 10:30:00 PM,2025,true,false,0723,007,17,68,2002
07/02/2002 10:30:00 PM,1310,false,false,2514,025,30,19,2002
07/02/2002 10:30:00 PM,0810,false,false,2322,019,46,3,2002
07/02/2002 10:30:00 PM,0486,false,true,1124,011,2,27,2002
07/02/2002 10:30:00 PM,1710,true,false,0234,002,3,40,2002
07/02/2002 10:30:00 PM,0910,false,false,1034,010,25,31,2002
07/02/2002 10:30:00 PM,1320,false,false,1913,019,1,5,2002
07/02/2002 10:30:00 PM,0486,false,true,0732,007,6,68,2002
07/02/2002 10:30:00 PM,0499,false,true,0935,009,3,61,2002
07/02/2002 10:30:00 PM,0820,false,false,1922,019,47,4,2002
07/02/2002 10:30:00 PM,0820,false,false,1823,018,27,8,2002
07/02/2002 10:30:00 PM,0486,false,true,2422,024,49,1,2002
07/02/2002 10:30:00 PM,0486,false,true,1423,014,26,24,2002
07/02/2002 10:31:45 PM,1310,false,false,0813,008,13,62,2002
07/02/2002 10:34:33 PM,1310,true,false,0323,003,6,69,2002
07/02/2002 10:37:31 PM,051A,false,false,2514,025,30,19,2002
07/02/2002 10:39:00 PM,2825,false,false,2432,024,49,1,2002
07/02/2002 10:39:15 PM,2027,true,false,1121,011,27,23,2002
07/02/2002 10:44:45 PM,0460,false,false,0233,002,20,40,2002
07/02/2002 10:45:00 PM,2024,true,false,0212,002,4,35,2002
07/02/2002 10:45:00 PM,0520,true,true,1034,010,25,31,2002
07/02/2002 10:45:00 PM,1811,true,false,1233,012,25,31,2002
07/02/2002 10:45:00 PM,031A,false,false,0714,007,15,67,2002
07/02/2002 10:45:00 PM,143A,true,false,0914,009,3,61,2002
07/02/2002 10:45:00 PM,0320,false,false,0322,003,6,69,2002
07/02/2002 10:45:55 PM,1310,false,false,0332,003,5,43,2002
07/02/2002 10:50:00 PM,0560,false,false,0733,007,17,68,2002
07/02/2002 10:50:00 PM,0486,false,true,1412,014,35,21,2002
07/02/2002 10:50:00 PM,2024,true,false,1531,015,28,25,2002
07/02/2002 10:51:22 PM,041A,false,false,1022,010,24,29,2002
07/02/2002 10:54:43 PM,0860,false,false,0813,008,13,65,2002
07/02/2002 10:54:52 PM,0520,false,true,0531,005,9,50,2002
07/02/2002 10:55:59 PM,0420,true,true,0614,006,18,71,2002
07/02/2002 10:57:00 PM,1822,true,false,0221,002,3,38,2002
07/02/2002 10:57:52 PM,0560,false,false,0814,008,23,56,2002
07/02/2002 11:00:00 PM,0820,false,false,0524,005,34,53,2002
07/02/2002 11:00:00 PM,5002,false,false,0915,009,16,61,2002
07/02/2002 11:00:00 PM,1811,true,false,0932,009,16,61,2002
07/02/2002 11:00:00 PM,1320,false,false,1724,017,33,16,2002
07/02/2002 11:00:00 PM,2820,false,false,0814,008,23,56,2002
07/02/2002 11:00:00 PM,0810,false,false,2412,024,50,2,2002
07/02/2002 11:00:00 PM,0810,false,false,2521,025,31,19,2002
07/02/2002 11:00:00 PM,1320,false,false,1135,011,2,27,2002
07/02/2002 11:00:00 PM,1811,true,false,1132,011,28,26,2002
07/02/2002 11:00:00 PM,0460,false,false,0812,008,13,64,2002
07/02/2002 11:00:00 PM,1506,true,false,1512,015,29,25,2002
